"KEGG_Id","Name","Description","Class"
"map00010","Glycolysis / Gluconeogenesis","Glycolysis is the process of converting glucose into pyruvate and generating small amounts of ATP (energy) and NADH (reducing power). It is a central pathway that produces important precursor metabolites: six-carbon compounds of glucose-6P and fructose-6P and three-carbon compounds of glycerone-P, glyceraldehyde-3P, glycerate-3P, phosphoenolpyruvate, and pyruvate [MD:M00001]. Acetyl-CoA, another important precursor metabolite, is produced by oxidative decarboxylation of pyruvate [MD:M00307]. When the enzyme genes of this pathway are examined in completely sequenced genomes, the reaction steps of three-carbon compounds from glycerone-P to pyruvate form a conserved core module [MD:M00002], which is found in almost all organisms and which sometimes contains operon structures in bacterial genomes. Gluconeogenesis is a synthesis pathway of glucose from noncarbohydrate precursors. It is essentially a reversal of glycolysis with minor variations of alternative paths [MD:M00003].","Metabolism; Carbohydrate metabolism"
"map00020","Citrate cycle (TCA cycle)","The citrate cycle (TCA cycle, Krebs cycle) is an important aerobic pathway for the final steps of the oxidation of carbohydrates and fatty acids. The cycle starts with acetyl-CoA, the activated form of acetate, derived from glycolysis and pyruvate oxidation for carbohydrates and from beta oxidation of fatty acids. The two-carbon acetyl group in acetyl-CoA is transferred to the four-carbon compound of oxaloacetate to form the six-carbon compound of citrate. In a series of reactions two carbons in citrate are oxidized to CO2 and the reaction pathway supplies NADH for use in the oxidative phosphorylation and other metabolic processes. The pathway also supplies important precursor metabolites including 2-oxoglutarate. At the end of the cycle the remaining four-carbon part is transformed back to oxaloacetate. According to the genome sequence data, many organisms seem to lack genes for the full cycle [MD:M00009], but contain genes for specific segments [MD:M00010 M00011].","Metabolism; Carbohydrate metabolism"
"map00030","Pentose phosphate pathway","The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].","Metabolism; Carbohydrate metabolism"
"map00040",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00051",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00052",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00053",nothing,nothing,"Metabolism; Carbohydrate metabolism"
"map00061",nothing,nothing,"Metabolism; Lipid metabolism"
"map00062",nothing,nothing,"Metabolism; Lipid metabolism"
"map00071",nothing,nothing,"Metabolism; Lipid metabolism"
"map00073",nothing,nothing,"Metabolism; Lipid metabolism"
"map00100",nothing,nothing,"Metabolism; Lipid metabolism"
"map00120","Primary bile acid biosynthesis","Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.","Metabolism; Lipid metabolism"
"map00121","Secondary bile acid biosynthesis","The secondary bile acids are derived from the primary bile acids by the enzymatic action of intestinal bacteria through the process of deconjugation and dehydroxylation. The secondary bile acids in humans include deoxycholic acid and lithocholic acid, formed from the 7alpha-dehydroxylation of cholic acid and chenodeoxycholic acid, respectively.","Metabolism; Lipid metabolism"
"map00130","Ubiquinone and other terpenoid-quinone biosynthesis","Ubiquinone (UQ), also called coenzyme Q, and plastoquinone (PQ) are electron carriers in oxidative phosphorylation and photosynthesis, respectively. The quinoid nucleus of ubiquinone is derived from the shikimate pathway; 4-hydroxybenzoate is directly formed from chorismate in bacteria, while it can be formed from either chorismate or tyrosine in yeast. The following biosynthesis of terpenoid moiety involves reactions of prenylation, decarboxylation, and three hydroxylations alternating with three methylations. The order of these reactions are somewhat different between bacteria and yeast. Phylloquinone (vitamin K1), menaquinone (vitamin K2), and tocopherol (vitamin E) are fat-soluble vitamins. Phylloquinone is a compound present in all photosynthetic plants serving as a cofactor for photosystem I-mediated electron transport. Menaquinone is an obligatory component of the electron-transfer pathway in bacteria.","Metabolism; Metabolism of cofactors and vitamins"
"map00140","Steroid hormone biosynthesis","Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A [MD:M00111]. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.","Metabolism; Lipid metabolism"
"map00190",nothing,nothing,"Metabolism; Energy metabolism"
"map00195","Photosynthesis","Photosynthesis in green plants and specialized bacteria is the process of utilizing light energy to synthesize organic compounds from carbon dioxide and water. It consists of the light dependent part (light reaction) and the light independent part (dark reaction, carbon fixation). The light reaction takes place in thylakoid, a membrane-bound compartment inside chloroplasts and cyanobacteria. The light energy is used by photosystems I and II to generate proton motive force and reducing power (NADPH or NADH). The proton motive force is used by ATP synthase to generate ATP, essentially in the same way as the mitochondrial respiratory chain. The supplies of ATP and NAD(P)H are then used to fix carbon dioxide.","Metabolism; Energy metabolism"
"map00196","Photosynthesis - antenna proteins","The chlorophyll-binding subunits of photosystems I and II are internal antenna light-harvesting proteins of oxygenic photosynthesis. The antenna proteins that exist in phycobilisomes in cyanobacteria and light-harvesting chlorophyll protein complexes in green plants act as peripheral antenna systems, enabling more efficient absorption of light energy.","Metabolism; Energy metabolism"
"map00220",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00230",nothing,nothing,"Metabolism; Nucleotide metabolism"
"map00232",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00240",nothing,nothing,"Metabolism; Nucleotide metabolism"
"map00250",nothing,nothing,"Metabolism; Amino acid metabolism"
"map00253","Tetracycline biosynthesis","Tetracyclines are aromatic polyketide antibiotics produced by Streptomyces species via type II polyketide synthases (PKSs). Tetracyclines contain a linear tetracyclic skeleton, which is formed from a malonamate starter unit and malonyl-CoA extender units through a common polyketide pathway [MD:M00778]. This diagram shows biosynthesis of naturally occurring tetracyclines (tetracycline, oxytetracycline and chlortetracycline) via a common intermediate anhydrotetracycline [MD:M00780 M00823].","Metabolism; Metabolism of terpenoids and polyketides"
"map00254",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
