"","Run","LibraryLayout","download_path"
"1","SRR3541289","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541289/SRR3541289.sra"
"2","SRR3541290","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541290/SRR3541290.sra"
"3","SRR3541291","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541291/SRR3541291.sra"
"4","SRR3541292","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541292/SRR3541292.sra"
"5","SRR3541293","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541293/SRR3541293.sra"
"6","SRR3541294","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541294/SRR3541294.sra"
"7","SRR3541295","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541295/SRR3541295.sra"
"8","SRR3541296","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541296/SRR3541296.sra"
"9","SRR3541297","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541297/SRR3541297.sra"
"10","SRR3541298","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541298/SRR3541298.sra"
"11","SRR3541299","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541299/SRR3541299.sra"
"12","SRR3541300","PAIRED","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541300/SRR3541300.sra"
