Gene_stable_ID,Gene_name,Gene end (bp),Gene start (bp),Gene_length
ENSG00000210049,MT-TF,647,577,70
ENSG00000211459,MT-RNR1,1601,648,953
ENSG00000210077,MT-TV,1670,1602,68
ENSG00000210082,MT-RNR2,3229,1671,1558
ENSG00000209082,MT-TL1,3304,3230,74
ENSG00000198888,MT-ND1,4262,3307,955
ENSG00000210100,MT-TI,4331,4263,68
ENSG00000210107,MT-TQ,4400,4329,71
ENSG00000210112,MT-TM,4469,4402,67
ENSG00000198763,MT-ND2,5511,4470,1041
ENSG00000210117,MT-TW,5579,5512,67
ENSG00000210127,MT-TA,5655,5587,68
ENSG00000210135,MT-TN,5729,5657,72
ENSG00000210140,MT-TC,5826,5761,65
ENSG00000210144,MT-TY,5891,5826,65
ENSG00000198804,MT-CO1,7445,5904,1541
ENSG00000210151,MT-TS1,7514,7446,68
ENSG00000210154,MT-TD,7585,7518,67
ENSG00000198712,MT-CO2,8269,7586,683
ENSG00000210156,MT-TK,8364,8295,69
ENSG00000228253,MT-ATP8,8572,8366,206
ENSG00000198899,MT-ATP6,9207,8527,680
ENSG00000198938,MT-CO3,9990,9207,783
ENSG00000210164,MT-TG,10058,9991,67
ENSG00000198840,MT-ND3,10404,10059,345
ENSG00000210174,MT-TR,10469,10405,64
ENSG00000212907,MT-ND4L,10766,10470,296
ENSG00000198886,MT-ND4,12137,10760,1377
ENSG00000210176,MT-TH,12206,12138,68
ENSG00000210184,MT-TS2,12265,12207,58
ENSG00000210191,MT-TL2,12336,12266,70
ENSG00000198786,MT-ND5,14148,12337,1811
ENSG00000198695,MT-ND6,14673,14149,524
ENSG00000210194,MT-TE,14742,14674,68
ENSG00000198727,MT-CYB,15887,14747,1140
ENSG00000210195,MT-TT,15953,15888,65
ENSG00000210196,MT-TP,16023,15956,67
ENSG00000271254,,29626,4612,25014
ENSG00000280538,,754224,753629,595
ENSG00000278457,5S_rRNA,380726,380608,118
ENSG00000278704,,58376,56140,2236
ENSG00000262826,INTS3,153792039,153745298,46741
ENSG00000278294,5_8S_rRNA,217401,217250,151
ENSG00000281806,,754657,745961,8696
ENSG00000281362,LINC01115,859032,784657,74375
ENSG00000273947,KIR2DL3,54753053,54738538,14515
ENSG00000275151,,29114317,29113759,558
ENSG00000274861,LILRP2,54713453,54707916,5537
ENSG00000276779,KIR2DL4,54814548,54803599,10949
ENSG00000279969,,29225491,29200579,24912
ENSG00000274882,LINC02109,29181238,29152383,28855
ENSG00000274339,LILRP1,54700905,54700593,312
ENSG00000273735,KIR3DL2,54872914,54864204,8710
ENSG00000276820,KIR2DL1,54828213,54813971,14242
ENSG00000273775,KIR3DL1,54830745,54816442,14303
ENSG00000278306,KIR2DS3,54796789,54782354,14435
ENSG00000274324,KIR2DS4,54892899,54877320,15579
ENSG00000276433,KIR3DL3,54736060,54724498,11562
ENSG00000275732,KIR2DL4,54858688,54847612,11076
ENSG00000277995,,29079498,29079384,114
ENSG00000274130,,54704235,54703952,283
ENSG00000278731,KIR2DL2,54769220,54754673,14547
ENSG00000277921,LILRP1,54700905,54700593,312
ENSG00000277554,KIR2DL3,54752993,54738470,14523
ENSG00000277620,KIR3DL3,54736092,54724450,11642
ENSG00000276970,,54767314,54754966,12348
ENSG00000278074,KIR2DL4,54814279,54803565,10714
ENSG00000277272,KIR3DL1,54830756,54816451,14305
ENSG00000276044,KIR2DL4,54844782,54833799,10983
ENSG00000277355,KIR2DL4,54800882,54789806,11076
ENSG00000274714,KIR2DS4,54834528,54819131,15397
ENSG00000274807,KIR2DS4,54848156,54832788,15368
ENSG00000280663,PCMTD2,64278487,64259386,19101
ENSG00000277334,NCR1,54896443,54892528,3915
ENSG00000276379,KIR3DL1,54820397,54816496,3901
ENSG00000275442,LILRP2,54713453,54707916,5537
ENSG00000276518,KIR3DP1,54784650,54771247,13403
ENSG00000278152,KIR2DS2,54769215,54738439,30776
ENSG00000277484,KIR2DL3,54753005,54738471,14534
ENSG00000273575,KIR2DL4,54814527,54803379,11148
ENSG00000273510,KIR2DL1,54784324,54769838,14486
ENSG00000275237,KIR2DL4,54800893,54789912,10981
ENSG00000275751,KIR3DP1,54798220,54786398,11822
ENSG00000276858,FCAR,54890443,54874219,16224
ENSG00000277616,KIR2DL1,54828892,54814388,14504
ENSG00000275717,KIR3DL1,54830785,54816473,14312
ENSG00000277044,OPRL1,64100643,64097802,2841
ENSG00000273670,LILRP1,54700905,54700593,312
ENSG00000277251,KIR2DL2,54769221,54754680,14541
ENSG00000274476,KIR2DP1,54767817,54754923,12894
ENSG00000277339,NPBWR2,64107171,64105820,1351
ENSG00000277456,,54704235,54703952,283
ENSG00000278606,KIR2DL4,54814484,54803296,11188
ENSG00000280695,,64147290,64143780,3510
ENSG00000276876,MYT1,64245898,64155437,90461
ENSG00000276501,KIR3DL1,54875379,54861074,14305
ENSG00000276328,KIR3DL3,54736091,54724453,11638
ENSG00000273755,LILRP2,54713341,54707916,5425
ENSG00000262025,,153870645,153869337,1308
ENSG00000263275,,153769407,153768214,1193
ENSG00000262299,,153819322,153812404,6918
ENSG00000275407,KIR2DL2,54769049,54754722,14327
ENSG00000262767,GEMIN2P1,153714877,153713833,1044
ENSG00000261992,GATAD2B,153845579,153821956,23623
ENSG00000278805,KIR2DL1,54828769,54814475,14294
ENSG00000274692,KIR2DL1,54783790,54769275,14515
ENSG00000277345,KIR2DS4,54892982,54877376,15606
ENSG00000276424,KIR3DL2,54911932,54895138,16794
ENSG00000263057,KRT20,40885227,40875941,9286
ENSG00000273526,KIR2DS4,54848624,54832771,15853
ENSG00000275062,KIR3DL3,54736023,54723963,12060
