ensembl_gene_id,percentage_gene_gc_content,external_gene_name,entrezgene_id
ENSG00000210049,40.85,MT-TF,
ENSG00000211459,45.49,MT-RNR1,
ENSG00000210077,42.03,MT-TV,
ENSG00000210082,42.81,MT-RNR2,
ENSG00000209082,38.67,MT-TL1,
ENSG00000198888,47.70,MT-ND1,4535
ENSG00000210100,28.99,MT-TI,
ENSG00000210107,48.61,MT-TQ,
ENSG00000210112,45.59,MT-TM,
ENSG00000198763,42.99,MT-ND2,4536
ENSG00000210117,35.29,MT-TW,
ENSG00000210127,43.48,MT-TA,
ENSG00000210135,41.10,MT-TN,
ENSG00000210140,45.45,MT-TC,
ENSG00000210144,42.42,MT-TY,
ENSG00000198804,46.24,MT-CO1,4512
ENSG00000210151,49.28,MT-TS1,113219467
ENSG00000210154,23.53,MT-TD,
ENSG00000198712,46.20,MT-CO2,4513
ENSG00000210156,32.86,MT-TK,
ENSG00000228253,39.61,MT-ATP8,4509
ENSG00000198899,44.20,MT-ATP6,4508
ENSG00000198938,46.56,MT-CO3,4514
ENSG00000210164,26.47,MT-TG,
ENSG00000198840,40.17,MT-ND3,4537
ENSG00000210174,23.08,MT-TR,
ENSG00000212907,43.10,MT-ND4L,4539
ENSG00000198886,44.27,MT-ND4,4538
ENSG00000210176,36.23,MT-TH,
ENSG00000210184,45.76,MT-TS2,
ENSG00000210191,35.21,MT-TL2,
ENSG00000198786,44.92,MT-ND5,4540
ENSG00000198695,42.67,MT-ND6,4541
ENSG00000210194,39.13,MT-TE,
ENSG00000198727,46.28,MT-CYB,4519
ENSG00000210195,37.88,MT-TT,
ENSG00000210196,33.82,MT-TP,
ENSG00000278294,51.32,5_8S_rRNA,
ENSG00000271254,44.36,AC240274.1,102724250
ENSG00000281806,42.31,AC208876.2,
ENSG00000278704,47.38,BX004987.1,
ENSG00000277995,35.65,AC025771.2,
ENSG00000275151,39.89,AC025771.1,
ENSG00000278457,58.82,5S_rRNA,
ENSG00000274882,34.93,LINC02109,
ENSG00000280538,43.46,AC208876.1,
ENSG00000281362,44.05,LINC01115,339822
ENSG00000279969,32.83,AC112172.1,
ENSG00000277044,60.52,OPRL1,4987
ENSG00000277339,62.65,NPBWR2,2832
ENSG00000280695,53.83,AC226131.1,
ENSG00000276876,54.58,MYT1,4661
ENSG00000275018,51.51,AL121581.1,
ENSG00000280663,44.58,PCMTD2,55251
ENSG00000275531,51.68,Metazoa_SRP,
ENSG00000262767,45.45,GEMIN2P1,
ENSG00000276295,51.68,Metazoa_SRP,
ENSG00000262994,45.61,AC217323.1,
